name,time,nodeid,value
test,1518087728845427968,47235," "
test,1518087728847345152,47235,"59398:18,27,18,1259631,#"
test,1518087728970857984,47235," "
test,1518087728973293056,47235,"58243:59398,27,18,848045119,#"
test,1518087729721971968,47235," "
test,1518087729723261184,47235,"21767:0,27,18,344007,#"
test,1518087731097827072,47235," "
test,1518087731100059904,47235,"58243:27776,30,1,2024210709,#"
test,1518087731223898880,47235," "
test,1518087731226340096,47235,"58243:47235,30,159,-1881501468,#"
test,1518087731343992832,47235," "
test,1518087731346447104,47235,"58243:47235,30,158,-1881510661,#"
test,1518087731451930880,47235," "
test,1518087731454523136,47235,"58243:47235,28,179,-1881391244,#"
test,1518087731580796928,47235," "
test,1518087731582802944,47235,"58243:47235,30,1,-1882234588,#"
test,1518087731711680000,47235," "
test,1518087731714319872,47235,"58243:47235,30,157,-1881519796,#"
test,1518087731840472064,47235," "
test,1518087731842665984,47235,"58243:47235,29,1,-1882278975,#"
test,1518087731971822080,47235," "
test,1518087731973916928,47235,"58243:47235,29,1,-1882278975,#"
test,1518087732225001984,47235," "
test,1518087732225584896,47235,"43398:17,26,0,1070133,#"
test,1518087735096246016,47235," "
test,1518087735097806080,47235,"3815:17,26,99,1354362,#"
test,1518087736098265856,47235," "
test,1518087736102082048,47235,"58243:47235,30,159,-1881501468,#"
test,1518087736222147840,47235," "
test,1518087736224598016,47235,"58243:47235,28,179,-1881391244,#"
test,1518087736271325952,47235," "
test,1518087736273394944,47235,"58243:47235,30,1,-1882234588,#"
test,1518087736402600960,47235," "
test,1518087736405005056,47235,"58243:47235,30,157,-1881519796,#"
test,1518087736531155968,47235," "
test,1518087736533314816,47235,"58243:47235,29,1,-1882278975,#"
test,1518087736662035968,47235," "
test,1518087736664212992,47235,"58243:47235,29,1,-1882278975,#"
test,1518087736793144832,47235," "
test,1518087736795699968,47235,"58243:51590,30,159,-1495568563,#"
test,1518087737223702016,47235," "
test,1518087737225285888,47235,"27776:20,30,1,1715029,#"
test,1518087737348634880,47235," "
test,1518087737350477056,47235,"27776:20,30,1,1715029,#"
test,1518087739160448000,47235,waiting...
test,1518087739221168128,47235," "
test,1518087739222743040,47235,"27776:20,29,1,1670642,#"
test,1518087739595595008,47235," "
test,1518087739597372928,47235,"1103:1,28,180,1312941,#"
test,1518087739848423936,47235," "
test,1518087739850779904,47235,"58243:27776,30,1,2024210709,#"
test,1518087739974294784,47235," "
test,1518087739976576000,47235,"58243:21767,30,1,-250624400,#"
test,1518087740023820032,47235," "
test,1518087740026288128,47235,"58243:47235,30,159,-1881501468,#"
test,1518087740225100032,47235," "
test,1518087740227055104,47235,"58243:47235,30,1,-1882234588,#"
test,1518087740296945152,47235," "
test,1518087740299282944,47235,"58243:47235,30,157,-1881519796,#"
test,1518087740425893120,47235," "
test,1518087740427757056,47235,"58243:47235,29,1,-1882278975,#"
test,1518087740556515072,47235," "
test,1518087740558605824,47235,"58243:47235,29,1,-1882278975,#"
test,1518087740687899136,47235," "
test,1518087740690360064,47235,"58243:47235,30,159,-1881501468,#"
test,1518087742971901952,47235," "
test,1518087742974364160,47235,"58243:47235,30,159,-1881501468,#"
test,1518087743071868928,47235," "
test,1518087743073895936,47235,"58243:47235,30,1,-1882234588,#"
test,1518087743203102976,47235," "
test,1518087743205426944,47235,"58243:47235,30,157,-1881519796,#"
test,1518087743331644160,47235," "
test,1518087743333661184,47235,"58243:47235,29,1,-1882278975,#"
test,1518087743463190016,47235," "
test,1518087743467184896,47235,"58243:47235,29,1,-1882278975,#"
test,1518087744593143040,47235," "
test,1518087744594546944,47235,"63875:18,0,12,919800,#"
test,1518087745973353984,47235," "
test,1518087745975064064,47235,"27776:20,29,2,1670729,#"
test,1518087746724244992,47235," "
test,1518087746726400000,47235,"58243:47235,30,159,-1881501468,#"
test,1518087746730003200,47235," "
test,1518087746732217088,47235,"58243:47235,30,1,-1882234588,#"
test,1518087746860964096,47235," "
test,1518087746863600128,47235,"58243:47235,30,157,-1881519796,#"
test,1518087746989847040,47235," "
test,1518087746992054016,47235,"58243:47235,29,1,-1882278975,#"
test,1518087747121149952,47235," "
test,1518087747123256832,47235,"58243:47235,29,1,-1882278975,#"
test,1518087747348692992,47235," "
test,1518087747350198016,47235,"27776:20,29,3,1670874,#"
test,1518087747473475072,47235," "
test,1518087747475275008,47235,"43398:17,26,0,1070133,#"
