time,x,y,z,b,t,l,h,label
61929,0.59,0.17,0.8,1006.65,28.93,97.36,54.76,0
61976,0.6,0.17,0.8,1006.65,28.93,97.36,54.76,0
62023,0.6,0.18,0.8,1006.65,28.93,97.36,54.76,0
62070,0.6,0.18,0.81,1006.65,28.93,97.36,54.76,0
62117,0.58,0.18,0.81,1006.65,28.93,97.36,54.76,0
62164,0.58,0.17,0.81,1006.65,28.93,97.36,54.76,0
62179,0.58,0.17,0.81,1006.63,28.93,97.36,54.76,0
62187,0.58,0.17,0.81,1006.63,28.93,97.36,54.76,0
62187,0.58,0.17,0.81,1006.63,28.93,112.8,54.76,0
62187,0.58,0.17,0.81,1006.63,28.93,112.8,54.76,0
62226,0.59,0.17,0.8,1006.63,28.93,112.8,54.76,0
62273,0.6,0.18,0.8,1006.63,28.93,112.8,54.76,0
62320,0.6,0.17,0.8,1006.63,28.93,112.8,54.76,0
62367,0.6,0.17,0.8,1006.63,28.93,112.8,54.76,0
62414,0.59,0.17,0.8,1006.63,28.93,112.8,54.76,0
62460,0.59,0.18,0.8,1006.63,28.93,112.8,54.76,0
62507,0.58,0.17,0.81,1006.63,28.93,112.8,54.76,0
62554,0.59,0.18,0.8,1006.63,28.93,112.8,54.76,0
62601,0.59,0.18,0.8,1006.63,28.93,112.8,54.76,0
62648,0.6,0.18,0.8,1006.63,28.93,112.8,54.76,0
62679,0.6,0.18,0.8,1006.6,28.93,112.8,54.76,0
62695,0.59,0.16,0.81,1006.6,28.93,112.8,54.76,0
62742,0.59,0.16,0.8,1006.6,28.93,112.8,54.76,0
62789,0.59,0.17,0.8,1006.6,28.93,112.8,54.76,0
62835,0.59,0.17,0.8,1006.6,28.93,112.8,54.76,0
62882,0.59,0.17,0.8,1006.6,28.93,112.8,54.76,0
62929,0.59,0.17,0.8,1006.6,28.93,112.8,54.76,0
62976,0.59,0.18,0.81,1006.6,28.93,112.8,54.76,0
63023,0.59,0.17,0.79,1006.6,28.93,112.8,54.76,0
63070,0.59,0.17,0.79,1006.6,28.93,112.8,54.76,0
63117,0.6,0.18,0.8,1006.6,28.93,112.8,54.76,0
63164,0.6,0.17,0.8,1006.6,28.93,112.8,54.76,0
63179,0.6,0.17,0.8,1006.6,28.93,112.8,54.76,0
63187,0.6,0.17,0.8,1006.6,28.93,112.8,54.76,0
63187,0.6,0.17,0.8,1006.6,28.93,110.8,54.76,0
63187,0.6,0.17,0.8,1006.6,28.93,110.8,54.66,0
63226,0.59,0.16,0.81,1006.6,28.93,110.8,54.66,0
63273,0.58,0.17,0.8,1006.6,28.93,110.8,54.66,0
63320,0.59,0.18,0.8,1006.6,28.93,110.8,54.66,0
63367,0.6,0.17,0.81,1006.6,28.93,110.8,54.66,0
63414,0.6,0.16,0.81,1006.6,28.93,110.8,54.66,0
63460,0.59,0.18,0.8,1006.6,28.93,110.8,54.66,0
63507,0.59,0.18,0.8,1006.6,28.93,110.8,54.66,0
63554,0.6,0.17,0.8,1006.6,28.93,110.8,54.66,0
63601,0.6,0.17,0.79,1006.6,28.93,110.8,54.66,0
63648,0.6,0.17,0.8,1006.6,28.93,110.8,54.66,0
63679,0.6,0.17,0.8,1006.6,28.93,110.8,54.66,0
63695,0.59,0.18,0.81,1006.6,28.93,110.8,54.66,0
63742,0.59,0.16,0.81,1006.6,28.93,110.8,54.66,0
63789,0.59,0.17,0.8,1006.6,28.93,110.8,54.66,0
63835,0.59,0.17,0.8,1006.6,28.93,110.8,54.66,0
63882,0.6,0.17,0.81,1006.6,28.93,110.8,54.66,0
63929,0.6,0.16,0.81,1006.6,28.93,110.8,54.66,0
63976,0.59,0.17,0.8,1006.6,28.93,110.8,54.66,0
64023,0.59,0.18,0.8,1006.6,28.93,110.8,54.66,0
64070,0.6,0.18,0.8,1006.6,28.93,110.8,54.66,0
64117,0.59,0.17,0.8,1006.6,28.93,110.8,54.66,0
